-2012,4174,-22
-2796,5990,-26
-1808,9598,-12
-2952,10826,-14
-1784,12958,-9
-1940,15510,-7
-2004,15426,-6
-1720,17754,-2
-1716,16710,-8
-2340,19030,-6
-1204,18562,-6
-2464,17066,0
-2892,17854,-1
-2648,16154,-8
-76,13958,0
-2400,14690,-10
-2164,11242,-10
-1568,9526,-9
-1488,6782,-12
-936,5210,-10
-348,1362,-14
1155,-833,125
-968,-3793,-165
455,-4865,174
543,-7509,175
-16,-9073,-179
1103,-11597,174
-668,-11913,-176
1551,-15697,173
-188,-14581,-179
663,-14169,177
423,-15281,178
-356,-13105,-178
-492,-15293,175
-456,-14313,-174
559,-11873,177
-1440,-11557,-176
-480,-8097,-172
-1316,-7205,-168
-544,-4849,-158
-964,-2217,-160
-1924,318,-104
259,2602,8
-2920,5234,-29
-1080,6482,-9
-1640,9954,-9
-2964,11034,-15
-1160,13286,-4
-3368,16874,-11
-1880,15358,-6
-2752,18030,-8
-1728,18186,-5
-2352,19858,-7
-2944,16954,-9
-732,18302,-2
-2032,16778,-6
-452,15246,-1
-1772,14894,-7
-1892,11942,-8
-1464,10118,-8
-1140,8830,-13
-1708,5902,14
-1296,4434,-6
1327,222,-25
-952,-3341,161
467,-2889,-174
-276,-7497,177
-532,-7125,-176
755,-11053,175
-36,-11225,-179
1491,-13361,173
-1560,-14197,-173
-1676,-11653,-171
-476,-15685,-178
-800,-14621,-176
1139,-14893,175
-8,-14765,-179
203,-12661,179
-1612,-11361,-172
-396,-8001,-177
155,-8525,178
-1112,-5389,-169
-1180,-3289,-159
-1960,-1085,-111
-1332,1722,-42
-856,3934,-16
-2712,6034,-22
-1960,9334,-22
-1856,10862,-16
-1012,12186,-12
-2652,16134,-7
-3004,15682,-10
-2232,17638,-8
-2072,17094,-9
-1304,17546,-4
-1772,19038,-5
-848,17270,-2
-1224,17334,-4
-176,16170,0
179,13770,0
-804,12254,-3
-820,11226,-4
-792,8778,-5
-56,6546,0
-276,5074,-3
111,882,7
-168,-1165,-173
555,-3561,170
-608,-5577,-173
403,-6925,176
1403,-10569,172
-284,-11045,-178
-440,-13753,-178
-940,-12549,-176
387,-15057,179
-880,-15769,179
243,-14461,-178
751,-15337,171
-1548,-14389,-178
435,-12597,-176
-1948,-12169,-179
-656,-10245,-176
-1264,-8833,-170
-1460,-7421,-168
71,-4497,179
-1940,-2341,-140
-44,1310,-1
-784,3074,-14
-1808,5206,-19
-1260,7642,-9
-3460,11126,-17
-540,12566,-2
-1636,15674,-6
-2736,16102,-9
-4196,18382,-15
-2704,16386,-8
-1976,19038,-6
-2384,17958,-7
-2120,18286,-6
-1608,16982,-5
-916,17698,-3
-1192,14118,-5
-932,13054,-4
-464,11582,-3
-2368,8066,-7
-636,7438,3
47,4274,-11
539,2610,0
-628,-985,-99
1235,-2457,153
-580,-4821,-171
219,-6161,177
579,-9549,176
175,-10109,179
1723,-13553,172
-1060,-13101,-175
195,-13209,179
-168,-16433,-179
-1296,-13249,-174
1199,-15597,175
-1544,-15089,-174
-404,-13445,-178
-972,-13257,-175
-300,-9785,-178
-852,-9621,-174
-2232,-7137,-163
-520,-4821,-172
-1880,-3265,-143
-564,530,-64
-3404,2062,-37
-1996,3990,-31
-1980,7654,-20
-2656,9958,-17
-1092,12098,-8
-2548,14366,-5
-1280,14730,-4
-2928,17538,-10
-2332,16874,-7
-1224,17422,-4
-2692,18086,-8
-1448,18390,-4
-3044,17334,-9
-1528,17858,-4
-2448,15574,-8
-2124,13946,-8
-2352,12614,-10
-1776,9202,-10
-1432,8082,-9
-836,5306,-7
1687,4166,19
-1952,-541,-102
227,-2561,167
-92,-4889,-178
-564,-5377,-176
1151,-9297,173
-112,-10621,-174
1499,-12501,175
-580,-14313,176
-536,-12505,-178
-1352,-15953,179
-1576,-13717,-177
-80,-14525,178
-1636,-15557,-173
135,-13777,179
-324,-12769,-178
-1508,-11213,-172
243,-9317,178
-828,-7097,-173
-1904,-5229,-159
-1708,-3405,-153
-1612,426,-75
-1936,2298,-41
-2404,4398,-29
-3936,7358,-27
-3332,9726,-20
-2048,11950,-10
-4420,12130,-17
-1276,15094,-5
-3172,17754,-10
-1396,16230,-4
-636,18598,-2
-1956,17106,-6
-1672,17510,-3
-2156,17758,-3
-2572,17374,-2
-916,15402,-2
-2756,13818,-2
-1608,13558,-4
-1260,9806,-11
-624,7810,-4
-344,5402,-3
-444,4514,-5
691,-1205,150
307,-1977,171
431,-3625,173
-304,-7697,-177
159,-7805,178
1239,-10413,173
-468,-12285,-177
587,-12953,177
-580,-15457,-177
463,-14541,178
-604,-15553,-177
-1200,-14709,-175
-848,-13901,-176
-444,-13065,-178
-640,-12833,-177
-1428,-10149,-172
-48,-7969,179
-1456,-7373,-166
-1648,-3857,-156
-1788,-1857,-132
-2144,-325,-95
-1988,3254,-57
-3728,5394,-33
-2520,7710,-19
-1848,10110,-12
-3092,12002,-15
-1712,13766,-6
-940,14986,-3
-2632,17126,-8
-2384,16450,-8
-2476,18162,-7
-2016,19778,-5
-2184,18110,-6
-2796,16994,-9
-2172,16342,-7
-1844,14294,-6
-1736,14090,-7
-1732,12466,-7
167,9650,0
-1472,7590,-11
1043,6138,11
-864,3722,-14
-676,-229,-108
431,-2509,172
-448,-4465,-179
-764,-7569,173
387,-7645,179
243,-11325,-179
-1536,-12713,-179
359,-13309,-178
-1196,-15437,175
-432,-13541,-178
-596,-14169,-177
-1168,-15785,-175
-336,-14009,-178
-144,-13137,-179
-640,-12061,-176
-2088,-10041,-168
-1896,-8145,-166
-1880,-6829,-164
-1428,-4481,-161
-1732,-1833,-118
-2196,822,-65
