-372,-4949,175
-124,-8813,-178
-160,-8685,-178
1279,-11917,173
-516,-12105,-177
1007,-13537,175
131,-16577,179
195,-15165,179
-60,-14785,-179
-1304,-15261,-175
183,-13761,179
187,-13929,179
459,-12453,177
-1416,-10609,-172
-472,-8453,-176
-1256,-6993,-170
-1024,-3681,-165
-1668,-1733,-137
-1648,662,-105
-732,4610,-12
-400,6382,-31
-1368,8074,-10
-2232,12090,-15
-2992,11726,-21
-2068,14474,-6
-2696,16398,-11
-1528,16582,-2
-2808,19154,-7
-1832,16722,-5
-1008,19158,-3
-2124,17942,-6
-604,17286,-2
-1240,16146,-4
-1204,16478,-4
827,13302,3
-1508,11338,-7
-1824,10026,-10
-984,7062,-7
-556,4478,-7
399,3690,6
-60,-589,-118
-988,-3853,-162
187,-6633,177
-2152,-8181,-163
443,-9037,176
719,-10601,176
447,-11785,177
579,-14385,177
2759,-15157,-178
947,-16089,-179
-392,-15525,179
979,-14253,-176
199,-14849,-173
-248,-13989,-172
-120,-11845,-177
-340,-11389,-178
-792,-9261,-174
-1620,-7029,-167
-1956,-5549,-160
-1140,-1945,-149
-2216,354,-80
-2440,2606,-43
-16,5318,0
-2648,8402,-17
-2752,9694,-15
-2100,11770,-10
-1528,12750,-6
-2052,16542,-7
-2764,15202,-8
-248,18442,0
-2784,18814,-8
-2352,18318,-7
-1548,18030,-5
-2748,18210,-8
-2176,15814,-7
-2328,15414,-9
-848,14390,-8
-1256,11898,-7
-164,9702,-8
-1728,8726,-2
-912,5130,-4
-120,3594,-18
-548,2610,-16
-168,-2533,-175
-376,-3525,-175
699,-6553,173
79,-8889,179
267,-9801,178
-116,-11821,-179
-236,-12301,-178
819,-15193,176
-1116,-15277,-175
1375,-14421,174
-2032,-15701,-172
-1392,-13669,-174
-404,-14089,-178
-1040,-11501,-175
-200,-10541,-178
-1492,-8825,-170
-2724,-7049,-160
-628,-5237,-172
-2128,-2509,-141
-1584,70,-124
-3464,2634,-44
-1756,5370,-28
-3208,6934,-19
-2972,10810,-3
-2820,11262,-9
-2736,13846,-3
-1172,15098,-4
-2184,16846,-8
-2020,17646,-6
-3180,17578,-10
-2024,18998,-6
-1908,18146,-6
-1356,16998,-4
-1696,16758,-5
-2492,16030,-8
-1792,13550,-7
-3136,12854,-13
-1232,10354,-6
-2764,8022,-18
-788,4906,-7
-228,2770,-3
-1316,1742,-42
859,-2125,154
251,-5349,176
555,-6701,174
1475,-9321,170
243,-10533,178
-264,-12585,177
11,-12809,-178
387,-13729,-175
-420,-16161,177
-708,-14425,175
-840,-14985,-176
-1552,-14817,-173
-1240,-13341,-175
-1120,-12465,-174
-1452,-11153,-172
-1348,-9945,-172
-1476,-7637,-169
-392,-6065,-176
-948,-3081,-162
-1668,-801,-115
-2128,902,-65
-1660,5726,-16
-3144,6434,-24
-1028,9094,-6
-2616,13074,-11
-1824,13502,-7
-3560,14642,-13
-4064,15754,-13
-2776,17874,-10
-2980,17106,-9
-2632,18266,-8
-1296,18462,-5
-272,18198,-5
-1012,16162,0
-324,16038,-3
199,13714,-3
295,11634,-4
-1012,10834,-5
1155,8334,7
415,5786,4
363,3510,5
283,1426,11
-1544,-1573,-135
-136,-4233,-178
127,-5957,178
1167,-8873,172
-124,-10417,-179
-528,-11421,-177
59,-12877,179
-104,-14913,-179
-468,-15333,-178
483,-15021,178
2807,-15393,170
1103,-15121,175
-1232,-13857,-175
-164,-13021,-179
595,-10837,176
-880,-9689,-174
-464,-7505,-172
-1880,-6137,-165
-2108,-3493,-147
-480,-921,-123
-2976,934,-66
-896,4150,-26
-2072,6830,-24
-2260,8510,-13
-1508,11262,-8
-2512,14754,-11
515,13990,2
-2344,15198,-8
-1444,17226,-4
-2640,18274,-8
-3108,18710,-9
-1224,18258,-3
-2356,17926,-7
-872,17598,-2
-1496,16530,-5
-1544,14282,-6
-904,12462,-3
-1820,10618,-9
67,8642,0
-972,6206,-7
-1156,4122,-18
-444,1798,-8
-128,-845,38
263,-4301,-173
227,-5545,-176
-736,-8569,172
427,-9089,-179
1363,-12185,175
-412,-12597,-179
279,-14101,-178
-188,-14741,-179
-28,-14281,-179
-688,-15333,-177
-1268,-15325,-175
823,-13741,176
-1844,-13557,-172
-460,-10729,-177
-1340,-9409,-171
-2404,-8645,-164
-1196,-6289,-169
-3120,-4233,-143
-1800,-889,-115
-2472,1190,-90
-2600,3574,-30
-1520,6038,-13
-2704,8442,-20
-1980,11102,-9
-3372,12914,-15
-1668,14218,-6
-2820,15946,-9
-2136,18154,-3
-2452,16922,-5
-3108,17942,-6
-2476,19254,-2
