4947,-1933,16623,5448,-5
6795,-2101,15403,5283,-3
8315,-2181,14771,5199,-5
11671,-2437,14591,5355,-6
12887,-1533,12551,5309,-4
12467,-1157,10075,5405,-5
15539,-1261,9255,5426,1
15651,-1345,7963,5395,2
15819,-1125,5267,5306,-7
16775,-593,4479,5223,-2
17747,-817,2575,5184,0
18259,70,-508,5232,174
16379,-605,-1452,5366,-173
17163,-661,-2556,5366,175
16815,-553,-5056,5350,-177
15827,-921,-7416,5225,-176
14775,-197,-8328,5138,178
13135,438,-11468,5290,177
12663,-301,-13020,5070,-178
11447,-285,-13588,5196,-176
8443,318,-14800,5272,179
7407,42,-15564,5559,-177
5267,-577,-15968,5398,-177
3231,-781,-16648,5354,-179
675,-545,-16804,5345,-178
-664,-513,-16544,5356,-177
-2484,-897,-16020,5526,-178
-4336,-1157,-15860,5467,-178
-6372,-961,-15428,5489,-173
-7288,-977,-14116,5357,-172
-9748,-965,-12636,5417,-173
-10272,-1581,-10500,5530,-173
-11836,-1169,-9508,5361,-176
-12636,-2421,-8232,5387,-163
-14952,-2097,-5724,5447,-162
-13608,-1757,-3680,5257,-149
-14536,-1961,-1608,5477,-141
-15092,-2201,863,5367,-117
-16080,-2273,2487,5217,-66
-15216,-2593,4735,5145,-32
-12328,-2081,7763,5224,-23
-13268,-2861,7891,5040,-21
-11552,-2305,9943,5254,-15
-10032,-1693,12355,5396,-12
-10224,-2301,13355,5356,-14
-7176,-2725,13627,5631,-13
-5532,-2041,15455,5446,-8
-4856,-1889,14691,5404,-9
-3284,-2197,15511,5275,-6
-752,-3361,15627,5299,-9
899,-2493,15535,5316,-7
4283,-2113,16763,5339,-6
5475,-1641,16431,5489,-6
6379,-2021,15771,5329,-4
8759,-1729,14591,5245,-5
10143,-1873,13191,5274,-7
12295,-1845,12095,5253,-5
13299,-2141,10363,5196,-5
14923,-1053,10795,5267,-4
15611,-541,8995,5159,-4
15987,-833,6347,4954,-5
17431,-621,5055,5175,-19
17603,-405,2075,5247,-32
18019,190,-264,5309,-66
17567,-477,-1476,5320,-74
20291,394,-5280,5378,177
16471,26,-6112,5390,-179
16467,294,-7388,5250,-176
15907,-589,-9228,5219,-178
14055,-509,-11760,5350,179
13707,-445,-12540,5283,-178
11599,-133,-13172,5192,-179
9643,242,-14428,5173,-179
9107,-237,-15600,5314,-178
6847,14,-15492,5620,-179
4127,-985,-16336,5207,-174
2403,-821,-16484,5308,-176
919,-1077,-17032,5296,-175
-516,-389,-17060,5328,-176
-3568,-901,-16412,5493,-179
-4788,-1137,-15040,5527,-175
-5456,-949,-15416,5397,-175
-8436,-1301,-12900,5435,-173
-9684,-2261,-12356,5323,-169
-10776,-2133,-11644,5322,-171
-12740,-2069,-9452,5138,-169
-13448,-1793,-8152,5310,-165
-14060,-1981,-5236,5124,-161
-14580,-2249,-3224,5372,-151
-14520,-2353,-676,5240,-131
-14696,-1781,1351,5343,-85
-15156,-2485,3267,5158,-47
-14464,-2821,3791,5209,-28
-14172,-3361,7635,5248,-20
-11728,-2193,8355,5132,-15
-11440,-2353,10207,5231,-11
-9492,-2717,12335,5169,-13
-8512,-2257,14015,5414,-11
-6448,-2109,14827,5619,-9
-4768,-2489,14995,5401,-9
-3120,-2461,15503,5283,-9
-1776,-1985,15075,5359,-8
-616,-1289,15695,5306,-6
3031,-2093,16203,5391,-7
4711,-1477,15971,5463,-5
6675,-1865,15727,5447,-7
7287,-2001,14159,5135,-8
9575,-1645,13915,5204,-6
11435,-1589,12579,5210,-8
13175,-1265,11459,5388,-4
13043,-1641,8931,5298,-5
15727,-2065,7251,5361,-7
17595,-865,7351,5324,-1
17523,-1305,4655,5452,-11
17983,-1161,3067,5262,-7
17775,-1357,959,5357,3
18779,-1369,-1796,5361,-165
17071,-669,-2620,5578,-144
17343,-1709,-3652,5496,-168
17503,-365,-5968,5289,-174
15859,-1001,-9364,5408,-176
15203,-213,-10476,5751,-178
12503,-453,-11216,5555,177
12659,-537,-13480,5603,179
10743,-637,-14240,5631,-177
8607,-513,-15224,5542,-179
6355,-381,-15836,5495,-177
5315,-25,-16520,5657,-177
2651,-277,-16712,5559,-177
-244,-729,-16820,5411,-174
-804,-445,-16456,5224,-172
-2640,-1461,-15876,5462,-174
-5996,-1097,-14328,5644,-177
-6984,-773,-13892,5718,-175
-9344,-921,-12828,5134,-177
-10440,-1409,-11448,5243,-174
-11716,-1969,-10804,5580,-171
-13152,-1293,-7832,5740,-172
-13888,-1693,-7456,5424,-165
-13204,-1673,-4764,5478,-146
-15048,-2345,-1740,5525,-112
-14140,-2033,227,5443,-78
-15364,-2565,1807,5518,-44
-14344,-2169,4631,5548,-29
-13660,-2505,7743,5221,-22
-12520,-2545,7671,5180,-17
-12436,-2385,10651,5344,-12
-9760,-2713,11507,5144,-11
-10600,-2897,12383,5468,-9
-8112,-3049,12991,5529,-9
-4592,-2437,14443,5618,-8
-3028,-3305,15011,5701,-10
-2436,-2573,14907,5526,-6
559,-2321,15575,5602,-7
3879,-2045,16591,5629,-6
3427,-2129,16511,5580,-10
6219,-2265,15591,5547,-7
9899,-1761,14627,5321,-8
10731,-973,13763,5694,-4
10127,-1881,12591,5475,-8
13283,-1973,10991,5598,-9
13267,-945,8679,5480,-4
15095,-1265,6751,5567,-8
16771,-1457,4967,5642,-6
18467,-1305,3347,5411,-11
18623,-725,1179,5428,-12
19127,-517,-16,5403,-17
17423,-89,-820,5418,-95
19631,-321,-4704,5249,-176
15835,186,-6688,5495,-177
16263,306,-7500,5444,177
15595,554,-9160,5172,-176
14315,-169,-11320,5038,-178
13175,-225,-12344,5402,-178
10839,-49,-12892,5414,-179
9375,126,-14372,5384,178
7419,214,-15772,5410,178
5831,-93,-16236,5617,179
3535,-1001,-16576,5449,-177
1251,-601,-16788,5518,-178
-416,-1725,-16312,5558,-174
-2172,-781,-15484,5726,179
-4016,-901,-15732,5525,-175
-6284,-969,-15048,5701,-174
-8148,-1733,-12932,5434,-173
-9528,-1061,-11444,5576,-174
-11284,-1001,-9048,5551,-172
-11992,-1185,-7948,5393,-169
-13780,-1937,-5912,5534,-164
-13920,-2085,-2876,5645,-164
-14936,-1649,-1800,5493,-154
-14380,-1981,1011,5540,-131
-15664,-2613,2243,5518,-73
-14988,-2593,3631,5497,-44
-13988,-2629,4007,5381,-33
-14348,-2917,7631,5716,-20
-10732,-2793,8455,5464,-16
-11588,-2969,9863,5681,-15
-8644,-2101,11271,5705,-10
-7568,-2273,13663,5709,-9
-7152,-2593,15343,5563,-8
-4640,-1905,15611,5570,-9
-2976,-1493,16483,5627,-5
279,-2321,17423,5447,-8
639,-2341,17207,5528,-6
5203,-2925,17087,5697,-7
5267,-2245,16619,5684,-6
5943,-1673,15223,5394,-7
10103,-1389,14935,5337,-7
11927,-1061,13335,5491,-6
13319,-545,13015,5464,-1
14259,-1817,10439,5212,-5
15267,-1449,8731,5346,-8
15923,-1085,8855,5529,-5
17575,-1233,5475,5526,-8
17907,-965,2591,5362,-10
17543,-1241,207,5357,0
19239,-873,-2404,5542,163
17599,-173,-4424,5559,178
17003,-541,-6208,5457,-178
17051,-765,-7728,5351,-171
15935,-1009,-9516,5454,-174
14659,-1109,-10436,5586,-176
13131,-1121,-11396,5379,-178
13043,-365,-13820,5590,179
10615,-525,-15580,5257,-179
9335,-617,-15988,5266,-179
6547,-265,-15732,5297,-179
4979,-765,-17224,5294,-179
2523,-641,-16752,5262,-177
1063,-569,-16428,5115,-177
-640,-349,-15728,5362,-177
-3432,-1033,-16244,5308,-179
-3616,-997,-15280,5254,-177
-6952,-1213,-14360,5475,-174
-8084,-977,-13892,5294,-174
-9868,-2033,-12640,5281,-170
-9720,-1201,-11028,5404,-174
-12428,-353,-9700,5150,-178
-12784,-2629,-7840,5201,-159
-14580,-1541,-5776,5036,-164
-14620,-1925,-3008,5144,-156
-14324,-2037,-1080,5325,-113
-14412,-2481,-1036,5208,-114
-15316,-2033,1287,5135,-69
-14432,-2333,4163,5099,-40
-13228,-2673,5691,5003,-30
-13580,-2161,7515,5050,-18
-12256,-2861,8391,5072,-19
-11664,-2413,9659,4984,-11
-10216,-2813,11843,4785,-12
-8264,-2373,12975,5004,-11
-6968,-2145,13715,5161,-8
-4312,-2589,13679,5112,-10
-3500,-2301,15703,4881,-8
-3420,-2033,16115,4806,-8
1263,-2697,15419,5094,-9
2571,-2721,15907,4984,-7
3031,-2301,16619,4901,-7
5407,-1709,16435,4869,-7
6299,-2125,15263,4979,-10
7711,-2357,14803,4898,-9
10995,-977,14047,5050,-6
11039,-1353,13115,4830,-4
13127,-1913,11723,4882,-6
13591,-1281,9947,4703,-6
14967,-889,9155,4956,-3
17231,-1181,6975,4929,-6
16775,-1617,6027,4678,-11
17611,-1017,3319,4698,-17
18543,-1041,2091,4563,-12
16939,-1065,1415,4750,-47
18579,-245,-2052,4990,-156
17799,-381,-3744,4656,-177
18191,-285,-4416,4826,-179
17487,-617,-6972,4831,-173
15619,-85,-8608,4713,179
16011,-581,-9160,4731,-176
15619,-421,-11820,4851,-178
12647,82,-12240,4984,-178
10995,-73,-13044,5118,176
10335,-469,-15032,4690,-176
9003,-449,-14920,4800,-177
7267,-697,-16064,5034,179
5759,-257,-16768,4823,-177
3455,-1145,-16692,4736,-177
2503,-733,-17696,4853,-177
147,166,-16880,4717,179
-1364,-1133,-16784,4675,-176
-3436,-1293,-16608,5023,-175
-3584,-837,-15308,4922,-176
-6432,-425,-15372,4896,-175
-7404,-1053,-13848,4771,-175
-9044,-1641,-12896,5112,-174
-10208,-1569,-11704,4623,-174
-11476,-969,-9152,4757,-171
-11976,-1833,-9400,4899,-167
-13640,-1965,-8012,4720,-165
-14288,-1957,-4312,4816,-161
